id,time,file,behaviour,type,family,stage,comment
4,858.327,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Adult,Stoplight parrotfish
4,893.696,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish x 3
4,922.424,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Stoplight parrotfish
4,970.105,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
4,1115.284,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Stoplight parrotfish
4,1215.417,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Adult,Redtail parrotfish
4,1346.515,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Parrotfish,Juvenile,Striped parrotfish
4,1467.672,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,intruder,Heterospecific,Parrotfish,Adult,Redband parrotfish
4,702.168,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(1).MP4,aggression,None,Unknown,Unknown,
4,708.144,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,aggression,None,Unknown,Unknown,
4,942.912,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,aggression,Heterospecific,Unidentified,Unknown,
4,1157.292,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,aggression,None,Unknown,Unknown,
4,1564.269,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,aggression,None,Unknown,Unknown,
4,1752.223,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,aggression,None,Unknown,Unknown,
4,1644.082,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(3).MP4,aggression,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
4,902.671,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 2
4,970.506,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse x 2
4,1346.949,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID4/CV_T1_ID4(2).MP4,intruder,Heterospecific,Wrasse,Juvenile,Bluehead wrasse
5,845.648,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Butterflyfish,Adult,Foureye butterflyfish
5,823.693,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,aggression,Heterospecific,Chromis,Adult,Blue chromis
5,299.766,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis x 2
5,316.216,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,719.155,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Brown chromis
5,807.777,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,"Blue chromis x 3
"
5,809.979,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,866.869,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis x 4
5,889.358,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis x 3
5,924.627,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,1342.844,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,1358.026,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,1419.624,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,1524.062,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,1600.672,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,intruder,Heterospecific,Chromis,Adult,Blue chromis
5,580.88,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,aggression,Conspecific,Damselfish,Adult,Bicolour damselfish
5,819.789,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,aggression,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1349.851,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,aggression,Conspecific,Damselfish,Adult,Bicolour damselfish
5,1439.277,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(3).MP4,aggression,Conspecific,Damselfish,Adult,Bicolour damselfish
5,323.623,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,378.178,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,657.357,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,696.729,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(1).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,747.85,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Heterospecific,Damselfish,Adult,Yellowtail damselfish
5,757.493,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,879.415,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,919.422,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Bicolour damselfish
5,946.582,E:/Honduras/Utila 2022/Individual damsels/Individual behavior videos/CV_T1_ID5/CV_T1_ID5(2).MP4,intruder,Conspecific,Damselfish,Adult,Dusky damselfish
