"","OpCode","Time","Z","X","Family","Genus","Species","Stage","Number"
"1","T1_300722",0.89145,-3073.97521,1054.51461,"Reference","Reference","Reference","",1
"2","T1_300722",0.89145,-4285.10754,840.72033,"Reference","Reference","Reference","",2
"3","T1_300722",0.89145,-2272.40559,-965.05616,"Scaridae","Sparisoma","aurofrenatum","AD",1
"4","T1_300722",0.89145,-1647.33102,-445.50762,"Pomacentridae","Chromis","cyanea","AD",1
"5","T1_300722",0.89145,-1772.03358,-691.86305,"Pomacentridae","Chromis","cyanea","AD",2
"6","T1_300722",0.89145,-1710.96385,-113.38887,"Pomacentridae","Chromis","cyanea","AD",3
"7","T1_300722",0.89145,-2806.22011,-338.87368,"Acanthuridae","Acanthurus","coeruleus","AD",1
"8","T1_300722",0.89145,-2286.43997,-1212.84572,"Scaridae","Scarus","croicensus","J",1
"9","T1_300722",0.89145,-3262.9928,820.37599,"Acanthuridae","Acanthurus","coeruleus","AD",2
"10","T1_300722",1.00656,-2726.81852,394.27192,"Reference","Reference","Reference","",1
"11","T1_300722",1.00656,-3853.28976,-67.42059,"Reference","Reference","Reference","",2
"12","T1_300722",1.00656,-2202.91429,-1309.49618,"Mullidae","Mulloidichthys","martinicus","AD",1
"13","T1_300722",1.18229,-1659.89217,128.88538,"Reference","Reference","Reference","",1
"14","T1_300722",1.18229,-2730.16896,-433.33938,"Reference","Reference","Reference","",2
"15","T1_300722",1.18229,-2234.73985,1022.62135,"Diodontidae","Diodon","hystrix","AD",1
"16","T1_300722",1.46591,-1146.4133,17.84327,"Labridae","Thalassoma","bifasciatum","J",1
"17","T1_300722",1.46591,-3542.12542,896.72231,"Pomacentridae","Abudefduf","saxatilis","AD",1
"18","T1_300722",1.46591,-2450.58253,114.6993,"Reference","Reference","Reference","",3
"19","T1_300722",1.46591,-3364.25363,-143.69746,"Reference","Reference","Reference","",4
"20","T1_300722",1.5104,-1957.8071,-188.95602,"Scaridae","Scarus","croicensus","J",1
"21","T1_300722",1.5104,-2230.71304,144.78554,"Reference","Reference","Reference","",3
"22","T1_300722",1.5104,-3142.57574,-58.37906,"Reference","Reference","Reference","",4
"23","T1_300722",1.5104,-995.44901,40.53776,"Pomacentridae","Chromis","cyanea","AD",1
"24","T1_300722",1.5104,-1100.95586,158.25023,"Pomacentridae","Chromis","cyanea","AD",2
"25","T1_300722",1.53264,-2072.7664,133.85022,"Reference","Reference","Reference","",3
"26","T1_300722",1.53264,-2142.27282,-695.7999,"Reference","Reference","Reference","",5
"27","T1_300722",1.53264,-1607.87551,-397.04201,"Pomacentridae","Chromis","cyanea","AD",1
"28","T1_300722",1.53264,-1844.28032,-285.27248,"Scaridae","Scarus","croicensus","J",1
"29","T1_300722",1.53264,-1790.35257,-263.69046,"Scaridae","Scarus","croicensus","J",2
"30","T1_300722",1.53264,-1787.58748,-283.99582,"Scaridae","Scarus","croicensus","J",3
"31","T1_300722",1.53264,-1769.25966,-293.97311,"Scaridae","Scarus","croicensus","J",4
"32","T1_300722",1.55377,-1791.74676,-543.96476,"Scaridae","Scarus","taeniopterus","J",1
"33","T1_300722",1.55377,-1897.046,155.17127,"Reference","Reference","Reference","",3
"34","T1_300722",1.55377,-2003.54105,-673.33461,"Reference","Reference","Reference","",5
